Designator,MPN/Seeed SKU,Quantity,PLACE
C4,302010103,1,
C5,302010139,1,
C3,302010171,1,
C1,302010111,1,
D5 D6 D7 D8 D9 D11,304020034,6,
D4 D10 D12 D13 D14,304060054,5,
D1,304090045,1,
D2,304090043,1,
D3,304090042,1,
J1,320180001,1,
J2,320020078,1,
K1 K2 K3 K4,311020024,4,
L1,303010015,1,
Q1,305030026,1,
R2 R4 R13 R14 R15 R17 R21,301010292,7,
R5 R9,301010299,2,
R3 R16 R19 R20 R22 R23 R24 R25 R26,301010293,9,
R6 R7 R8,301010096,3,
R11,301010205,1,
R27 R28 R29 R30,301010218,4,
R10,301010288,1,
R12,CRCW0603261KFKEA,1,
R1,301010145,1,
SW1,311030008,1,
U2,MCP1642B-ADJI/MS,1,
U1,317060163,1,
